ws_id;ws_name;ws_origin;ws_lat;ws_lon
5eb346bdebd0050e38685f3d;Mendefera;NMA-EIAR;12.21627;39.66691
5eb346bdebd0050e38685f3e;Kobo Zuriya;NMA-EIAR;12.13649;39.66048
5eb346bdebd0050e38685f3f;Bewa;NMA-EIAR;12.1624;39.60031
5eb346bdebd0050e38685f40;Gedeba;NMA-EIAR;12.15535;39.54829
5eb346bdebd0050e38685f41;Shewey Mariam;NMA-EIAR;12.19573;39.5093
5eb346bdebd0050e38685f42;Tekulashe;NMA-EIAR;12.14289;39.45435
5eb346bdebd0050e38685f43;Dino;NMA-EIAR;12.08848;39.4678
5eb346bdebd0050e38685f44;Arbet;NMA-EIAR;12.10286;39.53739
5eb346bdebd0050e38685f45;Aradom;NMA-EIAR;12.06865;39.62472
5eb346bdebd0050e38685f46;Abuare;NMA-EIAR;12.07168;39.68406
5eb346bdebd0050e38685f47;Weyiru Dikalo;NMA-EIAR;12.09214;39.77452
5eb346bdebd0050e38685f48;Werke;NMA-EIAR;12.01257;39.80811
5eb346bdebd0050e38685f49;Yaya;NMA-EIAR;11.93998;39.82883
5eb346bdebd0050e38685f4a;Afaf;NMA-EIAR;11.98709;39.71969
5eb346bdebd0050e38685f4b;Weremogna;NMA-EIAR;12.0079;39.64184
5eb346bdebd0050e38685f4c;Lache;NMA-EIAR;12.03111;39.58115
5eb346bdebd0050e38685f4d;Amoze;NMA-EIAR;12.03854;39.5419
5eb346bdebd0050e38685f4e;Awas;NMA-EIAR;11.98319;39.5545
5eb346bdebd0050e38685f4f;Ayida;NMA-EIAR;11.94613;39.52287
5eb346bdebd0050e38685f50;Asmella;NMA-EIAR;11.95241;39.55543
5eb346bdebd0050e38685f51;Dega Belago;NMA-EIAR;11.93768;39.59385
5eb346bdebd0050e38685f52;Behoro;NMA-EIAR;11.96108;39.64977
5eb346bdebd0050e38685f53;Durlebes;NMA-EIAR;11.91226;39.6548
5eb346bdebd0050e38685f54;Mito;NMA-EIAR;11.89668;39.57176
5eb346bdebd0050e38685f55;Kalim;NMA-EIAR;11.91144;39.52952
5eb346bdebd0050e38685f56;TATA;NMA-EIAR;12.23629;39.29818
5eb346bdebd0050e38685f57;WETWET;NMA-EIAR;12.27314;39.34069
5eb346bdebd0050e38685f58;ASHIKOWANA;NMA-EIAR;12.18711;39.38232
5eb346bdebd0050e38685f59;DILDIY;NMA-EIAR;12.1415;39.3532
5eb346bdebd0050e38685f5a;ASQIT;NMA-EIAR;12.18613;39.31789
5eb346bdebd0050e38685f5b;MEWAT;NMA-EIAR;12.13234;39.30092
5eb346bdebd0050e38685f5c;ATIMATA;NMA-EIAR;12.15853;39.26596
5eb346bdebd0050e38685f5d;AYIFE RUBA;NMA-EIAR;12.07056;39.22531
5eb346bdebd0050e38685f5e;AYITAHELA;NMA-EIAR;12.07715;39.26588
5eb346bdebd0050e38685f5f;WERQAWUTU;NMA-EIAR;12.05808;39.31109
5eb346bdebd0050e38685f60;DENBALSA;NMA-EIAR;12.03785;39.33255
5eb346bdebd0050e38685f61;TUBBA;NMA-EIAR;12.0881;39.41495
5eb346bdebd0050e38685f62;SELAMAT;NMA-EIAR;12.04396;39.47449
5eb346bdebd0050e38685f63;KOLAYIT;NMA-EIAR;11.99478;39.49714
5eb346bdebd0050e38685f64;WEQIT;NMA-EIAR;11.99611;39.46335
5eb346bdebd0050e38685f65;BEQULO MANEQIYA;NMA-EIAR;12.0202;39.41207
5eb346bdebd0050e38685f66;GESTA;NMA-EIAR;12.03375;39.36691
5eb346bdebd0050e38685f67;MERORA;NMA-EIAR;11.98765;39.34392
5eb346bdebd0050e38685f68;KOLA MUJA;NMA-EIAR;11.96165;39.2696
5eb346bdebd0050e38685f69;ZAGOL ZAF;NMA-EIAR;12.00532;39.25073
5eb346bdebd0050e38685f6a;AGEWUYE;NMA-EIAR;11.99923;39.19305
5eb346bdebd0050e38685f6b;TIRA SEFERE;NMA-EIAR;11.92648;39.18833
5eb346bdebd0050e38685f6c;NEFASIT;NMA-EIAR;11.91058;39.26492
5eb346bdebd0050e38685f6d;CHIBINA;NMA-EIAR;11.92323;39.33279
5eb346bdebd0050e38685f6e;IYELA;NMA-EIAR;11.95796;39.37981
5eb346bdebd0050e38685f6f;Serko;NMA-EIAR;11.934;38.69661
5eb346bdebd0050e38685f70;Lama deber;NMA-EIAR;11.98893;38.72212
5eb346bdebd0050e38685f71;Kila;NMA-EIAR;11.96416;38.8036
5eb346bdebd0050e38685f72;Areval;NMA-EIAR;11.87622;38.87982
5eb346bdebd0050e38685f73;Aydefer;NMA-EIAR;11.87509;38.98831
5eb346bdebd0050e38685f74;Key afer;NMA-EIAR;11.88786;39.10669
5eb346bdebd0050e38685f75;Denkena;NMA-EIAR;11.87842;39.23918
5eb346bdebd0050e38685f76;Robit;NMA-EIAR;11.84724;39.18801
5eb346bdebd0050e38685f77;Estayish;NMA-EIAR;11.83265;39.14427
5eb346bdebd0050e38685f78;Waro;NMA-EIAR;11.83606;39.09012
5eb346bdebd0050e38685f79;Boya;NMA-EIAR;11.81425;39.02712
5eb346bdebd0050e38685f7a;Dbko;NMA-EIAR;11.81116;38.93646
5eb346bdebd0050e38685f7b;Defergie;NMA-EIAR;11.80049;38.86017
5eb346bdebd0050e38685f7c;Kurssa;NMA-EIAR;11.79876;38.79599
5eb346bdebd0050e38685f7d;Mebel;NMA-EIAR;11.86239;38.80425
5eb346bdebd0050e38685f7e;Wefchinna;NMA-EIAR;11.81174;38.75467
5eb346bdebd0050e38685f7f;Tiweha;NMA-EIAR;11.85369;38.74803
5eb346bdebd0050e38685f80;Agiret;NMA-EIAR;11.84902;38.69975
5eb346bdebd0050e38685f81;Debre kebire;NMA-EIAR;11.90611;38.62966
5eb346bdebd0050e38685f82;Aymet;NMA-EIAR;11.85523;38.5882
5eb346bdebd0050e38685f83;Debrezebit;NMA-EIAR;11.78782;38.60149
5eb346bdebd0050e38685f84;Berekeze;NMA-EIAR;11.83073;38.64285
5eb346bdebd0050e38685f85;Hansewuhana Tsebelet;NMA-EIAR;11.76338;38.65334
5eb346bdebd0050e38685f86;Maserut;NMA-EIAR;11.77355;38.70474
5eb346bdebd0050e38685f87;Zibe;NMA-EIAR;11.72505;38.67937
5eb346bdebd0050e38685f88;Hana Mekuwat;NMA-EIAR;11.70236;38.68387
5eb346bdebd0050e38685f89;Asasa;NMA-EIAR;11.65036;38.67431
